VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-01-01 02:06:00,2023-01-01 02:36:00,3,1.39,1,N,79,9,1,5.05,3.5,0.5,4.72,0.0,1.0,17.27,2.5,0.0
2,2023-01-01 02:39:00,2023-01-01 02:58:00,4,5.7,1,N,105,62,2,17.22,2.5,0.5,0.76,0.0,1.0,21.98,0.0,0.0
2,2023-01-01 03:35:00,2023-01-01 04:12:00,3,0.55,1,N,186,201,1,13.04,2.5,0.5,0.88,6.55,1.0,26.97,2.5,0.0
2,2023-01-01 06:30:00,2023-01-01 06:56:00,1,3.34,1,N,71,208,1,4.53,0.5,0.5,0.53,6.55,1.0,16.11,2.5,0.0
2,2023-01-01 06:44:00,2023-01-01 07:41:00,1,6.07,1,N,26,237,1,21.79,0.5,0.5,6.58,6.55,1.0,39.42,2.5,0.0
2,2023-01-01 08:35:00,2023-01-01 09:22:00,1,2.39,5,N,37,194,2,6.34,0.5,0.5,5.04,6.55,1.0,19.93,0.0,0.0
1,2023-01-01 15:01:00,2023-01-01 15:48:00,1,0.46,1,N,56,39,3,3.83,0.0,0.5,0.94,0.0,1.0,8.02,0.0,1.75
1,2023-01-01 15:17:00,2023-01-01 15:26:00,3,1.01,1,N,257,16,1,5.02,1.0,0.5,0.6,0.0,1.0,8.12,0.0,0.0
2,2023-01-01 17:31:00,2023-01-01 18:20:00,1,5.94,1,N,122,173,1,9.72,0.0,0.5,1.95,6.55,1.0,22.22,2.5,0.0
1,2023-01-01 17:42:00,2023-01-01 18:34:00,1,1.07,1,N,3,246,2,33.96,0.0,0.5,6.58,0.0,1.0,44.54,2.5,0.0
1,2023-01-01 20:52:00,2023-01-01 21:40:00,1,3.9,1,N,227,115,1,6.94,1.0,0.5,0.7,0.0,1.0,10.14,0.0,0.0
2,2023-01-02 01:15:00,2023-01-02 02:01:00,3,0.76,1,N,195,195,1,21.26,3.5,0.5,3.75,0.0,1.0,30.01,0.0,0.0
2,2023-01-02 01:39:00,2023-01-02 01:44:00,1,1.62,1,N,231,7,1,12.37,0.5,0.5,6.18,0.0,1.0,23.05,2.5,0.0
1,2023-01-02 02:17:00,2023-01-02 02:27:00,1,1.27,1,N,35,134,1,41.68,1.0,0.5,1.97,0.0,1.0,48.65,2.5,0.0
2,2023-01-02 07:21:00,2023-01-02 07:53:00,1,4.11,1,N,214,141,1,5.72,0.0,0.5,1.16,6.55,1.0,17.43,2.5,0.0
2,2023-01-02 07:57:00,2023-01-02 08:21:00,3,1.82,1,N,34,109,2,46.47,2.5,0.5,2.09,6.55,1.0,60.86,0.0,1.75
1,2023-01-02 11:59:00,2023-01-02 12:20:00,2,3.68,1,N,140,202,1,16.38,1.0,0.5,1.43,6.55,1.0,29.36,2.5,0.0
1,2023-01-02 12:27:00,2023-01-02 13:01:00,4,3.36,1,N,151,37,2,25.67,1.0,0.5,1.43,0.0,1.0,32.1,2.5,0.0
1,2023-01-02 13:37:00,2023-01-02 14:17:00,1,0.74,1,N,171,216,1,5.58,0.0,0.5,9.95,6.55,1.0,26.08,2.5,0.0
2,2023-01-02 15:12:00,2023-01-02 15:42:00,1,11.93,1,N,114,215,1,4.74,2.5,0.5,0.69,0.0,1.0,13.68,2.5,1.75
1,2023-01-02 22:03:00,2023-01-02 22:35:00,1,0.71,4,N,26,38,1,24.96,3.5,0.5,0.28,0.0,1.0,34.49,2.5,1.75
1,2023-01-02 22:15:00,2023-01-02 22:57:00,1,1.23,1,N,184,224,1,15.01,1.0,0.5,0.98,6.55,1.0,25.04,0.0,0.0
1,2023-01-02 22:35:00,2023-01-02 23:10:00,1,5.02,1,N,109,190,2,3.68,0.5,0.5,0.2,6.55,1.0,14.93,2.5,0.0
1,2023-01-02 23:46:00,2023-01-03 00:42:00,1,1.12,1,N,27,79,1,31.6,0.5,0.5,4.29,6.55,1.0,44.44,0.0,0.0
2,2023-01-02 23:49:00,2023-01-03 00:29:00,1,4.41,1,N,189,136,1,45.2,3.5,0.5,4.01,6.55,1.0,63.26,2.5,0.0
1,2023-01-03 02:51:00,2023-01-03 02:59:00,1,4.57,1,N,25,235,1,13.21,3.5,0.5,4.15,0.0,1.0,24.86,2.5,0.0
2,2023-01-03 03:29:00,2023-01-03 04:16:00,1,1.97,1,N,205,215,4,16.36,2.5,0.5,0.16,6.55,1.0,29.57,2.5,0.0
2,2023-01-03 03:54:00,2023-01-03 04:48:00,4,1.65,1,N,126,140,1,4.58,2.5,0.5,1.14,0.0,1.0,9.72,0.0,0.0
1,2023-01-03 04:54:00,2023-01-03 05:01:00,3,0.84,1,N,105,45,1,7.35,0.5,0.5,0.01,6.55,1.0,18.41,2.5,0.0
2,2023-01-03 05:11:00,2023-01-03 05:38:00,2,6.07,1,N,105,94,1,43.68,0.0,0.5,1.66,0.0,1.0,49.34,2.5,0.0
2,2023-01-03 06:27:00,2023-01-03 06:52:00,4,2.32,1,N,179,57,1,4.28,1.0,0.5,1.73,0.0,1.0,8.51,0.0,0.0
2,2023-01-03 07:58:00,2023-01-03 08:23:00,1,5.97,4,N,55,253,1,14.21,0.5,0.5,1.3,6.55,1.0,25.81,0.0,1.75
2,2023-01-03 12:31:00,2023-01-03 13:06:00,1,1.71,5,N,62,75,1,3.46,1.0,0.5,0.31,0.0,1.0,8.77,2.5,0.0
2,2023-01-03 13:36:00,2023-01-03 14:03:00,1,4.23,1,N,4,184,1,5.66,0.5,0.5,0.47,6.55,1.0,14.68,0.0,0.0
2,2023-01-03 14:09:00,2023-01-03 14:20:00,2,1.15,1,N,158,84,1,15.54,0.0,0.5,0.59,0.0,1.0,17.63,0.0,0.0
1,2023-01-03 14:34:00,2023-01-03 14:40:00,1,2.56,1,N,15,41,1,64.7,0.5,0.5,0.07,0.0,1.0,66.77,0.0,0.0
1,2023-01-03 16:09:00,2023-01-03 16:28:00,1,2.11,2,N,87,232,1,5.83,3.5,0.5,0.6,0.0,1.0,15.68,2.5,1.75
1,2023-01-03 18:09:00,2023-01-03 18:21:00,4,0.82,1,N,100,189,1,3.15,2.5,0.5,1.7,0.0,1.0,11.35,2.5,0.0
1,2023-01-03 18:40:00,2023-01-03 19:21:00,3,0.46,1,N,185,147,2,3.52,2.5,0.5,5.18,6.55,1.0,21.75,2.5,0.0
1,2023-01-03 18:51:00,2023-01-03 18:56:00,1,1.49,1,N,96,3,1,34.37,0.5,0.5,1.36,0.0,1.0,37.73,0.0,0.0
2,2023-01-03 18:54:00,2023-01-03 19:37:00,1,3.12,2,N,67,210,1,5.08,0.0,0.5,4.8,6.55,1.0,20.43,2.5,0.0
2,2023-01-03 20:56:00,2023-01-03 21:54:00,5,1.61,1,N,162,184,1,14.32,2.5,0.5,0.22,0.0,1.0,21.04,2.5,0.0
2,2023-01-03 20:58:00,2023-01-03 21:38:00,1,3.55,1,N,121,157,1,12.65,0.5,0.5,1.28,0.0,1.0,20.18,2.5,1.75
1,2023-01-03 23:03:00,2023-01-03 23:57:00,2,2.23,1,N,93,215,1,37.61,0.5,0.5,1.69,0.0,1.0,43.05,0.0,1.75
2,2023-01-04 08:09:00,2023-01-04 09:02:00,1,2.59,1,N,116,97,1,55.81,0.0,0.5,0.63,0.0,1.0,59.69,0.0,1.75
2,2023-01-04 11:14:00,2023-01-04 12:13:00,1,1.51,1,N,260,199,1,13.56,3.5,0.5,1.46,6.55,1.0,29.07,2.5,0.0
1,2023-01-04 11:59:00,2023-01-04 12:29:00,2,5.15,1,N,118,67,2,7.67,3.5,0.5,3.23,0.0,1.0,15.9,0.0,0.0
1,2023-01-04 14:49:00,2023-01-04 15:19:00,1,1.73,1,N,23,222,1,34.65,0.5,0.5,1.5,6.55,1.0,44.7,0.0,0.0
2,2023-01-04 16:07:00,2023-01-04 16:13:00,2,3.6,1,N,232,121,2,6.19,0.5,0.5,3.3,6.55,1.0,22.29,2.5,1.75
1,2023-01-04 19:26:00,2023-01-04 19:32:00,1,0.86,1,N,27,105,1,12.37,2.5,0.5,1.46,0.0,1.0,20.33,2.5,0.0
2,2023-01-04 20:00:00,2023-01-04 20:22:00,1,2.62,1,N,28,204,1,7.69,0.5,0.5,0.48,6.55,1.0,19.22,2.5,0.0
2,2023-01-04 20:49:00,2023-01-04 21:41:00,2,1.69,1,N,75,58,1,13.23,2.5,0.5,2.62,0.0,1.0,24.1,2.5,1.75
2,2023-01-04 21:06:00,2023-01-04 21:44:00,1,1.03,2,N,132,262,1,16.3,0.0,0.5,8.86,6.55,1.0,35.71,2.5,0.0
2,2023-01-04 22:28:00,2023-01-04 23:20:00,2,3.01,1,N,227,143,1,4.22,3.5,0.5,0.61,6.55,1.0,18.88,2.5,0.0
1,2023-01-04 22:55:00,2023-01-04 23:22:00,1,0.48,1,N,17,126,1,16.11,2.5,0.5,1.38,0.0,1.0,23.99,2.5,0.0
2,2023-01-04 23:30:00,2023-01-05 00:28:00,1,6.28,1,N,60,250,1,6.35,0.0,0.5,0.15,6.55,1.0,17.05,2.5,0.0
2,2023-01-04 23:50:00,2023-01-05 00:26:00,4,0.36,1,N,242,5,1,36.71,0.5,0.5,1.74,0.0,1.0,42.95,2.5,0.0
2,2023-01-05 02:21:00,2023-01-05 02:27:00,1,9.9,2,N,104,241,1,6.48,0.0,0.5,1.83,0.0,1.0,12.31,2.5,0.0
2,2023-01-05 06:34:00,2023-01-05 06:54:00,1,2.17,1,N,184,139,1,10.66,3.5,0.5,5.37,0.0,1.0,21.03,0.0,0.0
2,2023-01-05 11:44:00,2023-01-05 11:53:00,1,3.24,1,N,160,89,1,3.24,3.5,0.5,1.65,0.0,1.0,9.89,0.0,0.0
1,2023-01-05 12:50:00,2023-01-05 13:00:00,3,1.67,1,N,33,122,1,16.74,0.5,0.5,11.54,0.0,1.0,32.78,2.5,0.0
2,2023-01-05 13:30:00,2023-01-05 14:25:00,1,7.14,1,N,150,248,2,27.3,3.5,0.5,7.34,6.55,1.0,48.69,2.5,0.0
2,2023-01-05 19:49:00,2023-01-05 19:59:00,1,1.88,1,N,143,204,1,5.13,2.5,0.5,1.76,0.0,1.0,10.89,0.0,0.0
1,2023-01-05 20:08:00,2023-01-05 20:47:00,1,0.75,1,N,8,103,1,9.69,2.5,0.5,4.55,0.0,1.0,20.74,2.5,0.0
2,2023-01-05 22:19:00,2023-01-05 22:24:00,1,3.37,1,N,51,182,1,7.92,3.5,0.5,6.87,0.0,1.0,19.79,0.0,0.0
1,2023-01-06 00:35:00,2023-01-06 01:09:00,2,3.89,1,N,217,74,2,28.46,0.5,0.5,0.75,0.0,1.0,33.71,2.5,0.0
2,2023-01-06 03:35:00,2023-01-06 04:30:00,1,11.9,1,N,255,211,2,28.5,2.5,0.5,0.13,0.0,1.0,35.13,2.5,0.0
1,2023-01-06 04:21:00,2023-01-06 04:29:00,2,1.61,5,N,175,1,2,6.8,2.5,0.5,7.12,6.55,1.0,26.97,2.5,0.0
